open,high,low,close,volume
29.01,29.29,28.7,29,422606
28.81,29.15,28.71,28.93,265548
29.3,29.49,28.38,28.69,497579
29.26,29.78,28.82,29.01,342824
28.5,29.8,28.41,29.7,559890
29.5,29.65,27.85,28.21,716809
29.4,29.74,29.01,29.01,196019
29.35,29.7,28.83,29.23,520990
30.06,30.38,29.22,29.42,456067
30.25,30.65,29.6,30.4,499916
29.59,30.54,29.47,30.5,350735
30.4,30.67,29.65,29.65,677727
30.55,31.19,29.11,30.61,1358092
31,31.5,30.08,30.23,960344
32.3,32.48,31.21,31.22,736359
32.95,32.95,31.59,32.05,469032
33.67,33.67,32.26,32.9,657852
33.8,34.48,32.45,33.5,505319
33.68,34.28,33.01,33.88,383194
33.67,33.73,33.33,33.38,350841
33.9,33.9,33.22,33.7,237563
33.25,34.25,33.25,33.66,351551
33.89,34.15,33.21,33.33,353272
33.06,34.14,33.06,33.8,337708
33.57,33.57,33,33.24,489001
34.21,34.31,31.8,33.33,691079
34.1,34.45,33.84,34.13,469672
34.05,34.36,33.67,34.25,376338
34.35,34.57,33.71,34.2,374836
34.7,34.86,33.89,34.3,449014
34.25,34.7,33.86,34.38,400977
33.61,34.38,33.61,33.92,276849
33.71,34.63,33.55,33.6,466043
33.76,34.71,33.62,34.08,416687
34.12,34.5,33.8,34.05,431296
35.09,35.1,34.01,34.6,384202
34.92,35.38,34.51,34.9,523978
34,34.75,33.94,34.75,1559507
33.9,34.62,33.45,34,436120
34.31,34.92,34.2,34.2,335880
34.85,35.22,34.24,34.65,1124030
35.2,35.58,34.45,34.99,773280
34.3,35.57,34.3,35.57,687111
35.02,35.67,34.25,35.01,1368752
34.25,35,33.83,35,595069
33.45,34.33,33.4,34.15,479176
33.04,33.81,32.86,33.77,712688
32.47,33,32.39,32.85,363446
32.9,33.02,32.23,33,488120
33.25,33.25,32.55,32.9,369508
32.6,33.42,32.25,33,652989
31.84,32.49,31.73,32.32,457809
31.3,31.98,31.03,31.8,274794
31.5,31.98,31.1,31.74,572678
31.21,31.69,31.1,31.35,561015
32.61,32.61,31.18,31.4,864886
32.68,33.2,32.68,32.8,345852
33.41,33.69,33.05,33.05,365028
33.4,34,33,33.65,423137
32.5,33.57,32.15,33.4,509068
32.39,32.77,32.05,32.05,610401
32.15,32.15,31.44,32.06,408062
31.94,32.14,31,31.9,1031834
32.75,32.75,31.7,32.06,818200
32.5,33.2,31.85,32.3,696101
33,33.02,32.3,32.68,1052223
34.75,34.75,33.17,33.6,884020
34.5,35,33.99,34.8,577899
33.7,34.6,33.04,34.1,1228342
33.99,34.6,33.4,34.2,1081859
34.25,35,33.8,34.46,914296
33.25,34.7,33.15,34.02,789572
32.9,33.53,32.86,33.21,445495
33.01,33.98,32.83,32.95,782196
33,33.33,32.15,33.33,948887
33.1,33.9,32.3,33.6,678520
32.25,33.3,32.24,33.27,536256
33.3,33.8,31.9,32,672333
31.1,33.19,30.94,33.05,836040
31,31.48,30.01,31.26,660060
31.58,32.41,30.82,30.97,713619
33.19,33.19,31.7,32,1095873
32.45,33.26,32.45,33.16,610926
32.05,33.09,31.83,32.87,961041
31.21,33,31.16,32.41,1166692
30.13,32.14,30.1,31.77,1185039
30.3,30.94,29.64,30.05,902095
29.75,30.9,29.5,30.2,752963
28,29.98,27.79,29.65,795168
27.75,28.47,26.91,28.34,258846
28.1,28.38,27.15,27.6,306006
27.5,28.55,27.5,28.15,283922
26,27.89,25,27.4,996166
27.46,27.87,26.31,26.46,385678
27.85,27.85,27.18,27.41,688925
28.32,28.82,27.59,27.85,698707
28.33,28.75,27.7,28.75,442475
28.39,29,28.1,28.1,401598
29.3,29.3,28.27,28.35,496247
29.14,29.14,28.25,28.73,448416
28.23,29.3,28.23,28.55,402680
28.3,28.8,27.5,28.6,320745
29.2,29.25,28.3,28.4,373988
29.3,29.84,28.75,29.15,520214
28.55,29.6,28.01,29.5,549161
28.19,28.3,27.57,28,413000
28.49,28.75,26.8,27.57,551129
28,29.2,27.58,28,646246
28.15,28.49,27.02,27.5,565040
28.51,29.09,28.1,28.5,461510
29.55,29.89,28.11,28.74,600609
30.4,30.99,29.33,29.8,523481
30.3,30.44,29.21,30.44,406886
30.99,30.99,29.55,30.2,276445
30.4,31.64,30.12,30.43,604460
30.45,31,28.98,30.95,445319
30.8,30.98,29.87,30.4,343223
29.73,31.25,29.5,30.01,788052
29.43,30.24,28.52,30.12,441297
28.9,29.9,28.75,28.92,440846
28.29,28.98,28.01,28.5,418562
28.99,29.09,26.25,28,601557
27.55,29,27.36,28.72,403289
27.1,28.6,26.84,28.31,802251
27.11,27.44,26.3,27.44,328423
27.12,27.3,26.61,26.9,457356
27.3,27.39,26.8,27.15,381619
27.5,27.64,26.26,26.99,754419
26.88,27.69,26.05,27.5,325440
26.19,26.98,26,26.93,403254
26.5,27.24,26.21,26.79,441874
28,28.37,26.75,27.1,481291
27.75,28.3,27.45,28.25,250977
28.2,28.66,26.71,27.51,546360
28,28.4,27.35,28.21,441250
27.88,27.92,27.15,27.69,355797
27,28.1,26.43,27.55,241141
26.65,27.27,26.06,26.73,628417
26.7,27.88,26.03,27,387512
27.2,29.26,26.52,27.09,757898
26.5,27.67,26.3,27.28,497647
25.99,26.5,25.2,26.18,306627
27.2,27.4,25.73,26,519768
25.84,27.99,25.62,27.09,932307
25.33,26,24.66,24.74,390550
24.7,26.23,24.51,25.65,670008
25.14,27.1,24.55,24.87,779470
24.51,25.56,23.95,25.43,910296
24.7,25,22.9,24,764516
25.85,26.19,23.56,24.26,778948
25.25,26.46,25,26.46,791024
24.26,25,23.45,24.63,870915
24.55,25.89,23.5,24.22,913480
22.9,25.95,21.9,23.07,1451596
21.2,23.04,20.05,22.01,689519
19,21,17.15,20.35,2678489
23.89,23.89,19.2,19.2,937283
25.89,26.19,23.09,23.09,767385
24.11,26.4,23.52,25.37,556572
25,26.38,22.7,24.47,1181782
33.84,34.46,33.37,33.43,395994
34.07,34.87,33.62,34.15,367570
34.88,35.12,33,34.52,583505
35.3,35.31,34.32,34.8,251279
34.82,35.6,34.65,35.47,220297
35.45,35.45,34.6,34.78,139397
34.21,35.75,34.21,34.82,368712
35.55,35.82,34.08,34.5,451926
35.72,36.1,35.38,35.85,312423
35.89,36.49,35.25,36.18,454207
35.9,35.94,35.35,35.55,225131
36,36.26,35.25,35.35,697299
34.5,36.36,34.01,35.82,1209815
33.25,34.62,33.06,34.35,490692
32.7,34.06,32.16,33.25,466855
33.25,33.49,32.37,32.88,378300
33.9,34.2,32.92,33.08,577142
34.24,34.6,34.02,34.12,262319
34.95,34.95,33.75,34.38,356549
34.8,34.9,34.06,34.6,436769
35.05,35.19,34.17,34.53,343737
35.41,36.19,34.45,35.1,501698
35.73,36.11,35.5,35.82,341094
35.49,36.25,35.34,35.75,371238
35.4,35.67,35.08,35.4,289523
35.49,35.77,35.11,35.25,287080
34.45,35.71,34.21,35.15,766831
34.5,34.5,33.91,34.21,380820
34.15,34.6,33.52,34.48,475422
33.8,34.13,33.65,34.1,327843
33.99,34.43,33.39,33.99,481052
34.25,34.48,33.37,33.8,442068
34.94,34.94,34.21,34.35,192868
34.4,34.95,33.8,34.65,282155
34.05,34.59,33.9,34.49,504061
34.48,34.69,34,34.5,479016
35.44,35.44,34.16,34.45,422741
34.97,35.6,34.82,35.17,261492
34.9,35.49,34.33,34.92,830107
36.4,36.4,33.5,34.55,1207292
36.03,36.97,36.03,36.7,541622
35.26,36.06,34.8,35.8,506323
36.4,36.98,35.35,35.57,650611
36.79,36.99,36,36.4,256303
36.65,37.28,36.65,36.65,288999
36.25,37.1,36,36.7,267519
36.62,36.75,36.32,36.42,241886
36.95,37.6,36.23,36.56,359694
35.98,37.24,35.86,36.8,448589
35.9,36.3,35.55,35.8,259779
35.8,36.15,35.16,35.71,211891
35.8,36.1,35.32,35.6,377511
35.84,36.16,34.86,35.75,284541
35.25,37.03,35.2,35.82,492846
35.25,35.6,35.05,35.6,331003
35.84,35.84,34.59,35.2,331241
35.71,35.84,35.2,35.35,373223
36,36.53,35.74,35.74,349907
36.09,36.3,35.59,35.82,512210
37.17,37.67,35.9,35.9,5174056
38.32,38.32,37.13,37.22,321178
38.75,38.75,37.81,38.19,226730
38.51,38.84,38.1,38.27,307696
38.75,39.11,38.54,38.82,202786
39,39.28,38.61,39,171848
39.75,39.91,38.37,39.15,517358
39.9,39.99,39.2,39.62,419341
38.99,40,38.72,40,425990
38.9,39.1,38.31,38.7,136310
38.9,39.5,38.31,38.91,479634
38,39.25,37.88,38.9,568643
39.1,39.1,38.12,38.35,396987
39.65,39.75,38.84,39.21,324261
39.39,39.84,39.27,39.45,159586
40.34,40.34,39.35,39.55,290913
39.67,40.41,39.4,39.8,211286
39.72,40.5,39.26,39.87,541419
40,40.22,39.2,40.01,642631
38.99,39.99,38.38,39.65,679196
38.3,39.65,38.15,39.65,1233465
38.45,38.74,37.79,38.12,429962
38.44,38.44,37.43,38.1,620103
38,38.5,37.91,38.03,607749
37.4,38.1,37.4,37.77,528341
37.65,37.79,37.03,37.35,171037
36.56,37.8,36.56,37.35,328121
38,38,36.89,37.2,642463
36.25,38.13,36.15,37.7,772708
36.5,36.85,35.8,36.05,221826
36.39,36.7,35.51,36.09,455733
37.5,37.5,36.15,36.24,383459
38.45,38.45,37.08,37.34,270260
37.01,38.05,37.01,37.84,313188
37.53,37.8,36.46,37.25,482820
36.81,37.48,36.8,37.39,611814
36.91,37.51,36.75,36.85,308812
37.35,37.7,36.8,37.15,278098
37.7,37.84,37,37.15,405258
37,37.9,37,37.51,560464
39.25,39.25,37.01,37.38,794327
39,39.49,38.43,38.71,792371
38.03,39.62,37.9,39.33,616055
37.91,39.04,37.65,38.8,487263
37,38.45,36.8,37.81,797149
35.89,37.55,35.32,36.9,977024
35.15,35.95,35.15,35.63,350847
36.4,36.6,35.21,35.42,335400
35.45,36.43,35.45,36.15,415347
36.21,36.5,35.1,35.75,647588
37.22,37.79,35.91,36.35,407585
37.19,37.79,36.76,37.38,375885
36.75,38.1,36.5,36.61,914516
36.63,37.2,36.39,36.81,343629
35.5,36.69,35.11,36.17,531980
35.4,35.75,35,35.6,463443
36,36.35,35.01,35.49,344595
36.24,36.49,34.7,35.7,529378
37.17,37.4,35.56,36.15,1023425
36.76,37.79,36.76,37.22,496114
37.11,38.2,37.01,37.35,355763
37.95,38.39,36.3,37.1,792235
39.64,39.64,37.5,38,4216819
39.7,40.14,38.8,39.52,498962
40.9,40.9,39.58,39.71,934896
40.61,41.39,40.51,40.9,588355
41.75,42.21,41.3,41.31,402994
41.72,41.95,40.85,41.53,357504
40.71,41.73,40.44,41.42,444297
40.12,40.95,39.86,40.57,313014
40.42,40.49,40.1,40.14,180103
40.38,40.7,39.89,40.22,229263
40.3,40.69,39.53,40.36,365548
40.6,41.3,40.19,40.3,618137
41.25,41.85,40.75,41.41,439666
41.98,42.15,41.2,41.53,235482
41.9,41.9,40.5,41.61,282517
41.4,42.18,41.04,41.65,349605
42.39,42.39,41.02,41.85,550772
42.52,43.26,41.5,41.87,506918
42.75,43.53,42.29,42.53,497846
43.31,43.45,42.31,42.75,361036
43.22,43.57,42.76,43.31,688998
42.41,43.17,42.15,42.8,275196
42.05,42.9,42.01,42.4,394803
42.18,42.69,41.93,42.03,292560
41.75,42.32,41.3,42.08,378445
41.25,41.66,40.7,41.2,348750
41,41.85,40.79,41.32,478966
42.08,42.1,40.53,40.91,859668
43.45,43.5,42,42.28,804038
43.02,43.9,43.02,43.65,343348
43.22,43.75,43.22,43.41,266451
43.75,43.75,42.56,43.22,635106
44.04,44.67,43.26,43.7,609956
44.5,45.14,43.91,44.24,574212
43.85,44.97,43.35,44.7,499806
44.6,44.6,43.33,43.76,429679
44.88,44.88,44.1,44.43,446908
44.5,45.14,43.2,44.5,972853
42.92,44.29,42.73,44.2,574208
43.25,43.79,42.6,43.03,290936
42.2,43.15,42,43.03,417069
41.65,42.38,41.4,42.11,437183
41.75,42.79,41.31,42.1,444879
44,44,41.66,42.13,712858
43.6,43.98,43.26,43.4,241222
43.7,44.35,43.01,43.57,733649
42.97,44,42.5,43.5,914725
42,43.3,42,42.7,959547
41.82,42.49,41.31,42.3,740353
41.3,41.7,40.7,41.25,524591
40.8,41.76,40.29,41.04,698332
40,40.62,39.06,39.91,341006
39,40.35,39,39.46,460318
38.41,39.38,38.41,39.23,396247
38.64,38.9,38.1,38.41,153025
38.4,38.76,38.1,38.35,297350
38.36,38.69,37.81,38.12,377830
38.49,38.79,38,38.25,197812
38.06,38.5,37.68,38.17,372992
38.75,39.44,38.01,38.3,629568
39.2,39.95,38.53,39.2,603932
39.45,39.99,38.48,39.45,447918
39.71,40.07,39.33,39.7,1112161
39.95,40.53,39.53,39.96,379191
40.32,40.4,39.53,39.8,225143
40.89,40.89,39.66,40.13,370038
41.44,41.44,39.85,40.55,789444
41.7,41.96,40.46,41.32,466648
41.95,41.96,40.31,41.6,623611
40.8,42.5,40.51,41.95,1156770
38.9,41.2,38.31,40.45,1078147
38.5,39,38.3,38.78,335614
38.3,38.98,38.2,38.44,424048
38.23,39.27,37.5,39.27,540920
38.15,38.8,38.12,38.23,364325
38.9,39.2,38.08,38.5,340919
37.97,39.18,37.53,38.48,386742
38,38.8,37.08,37.55,459749
38.9,38.9,38.07,38.35,302588
38.47,38.94,38.11,38.6,260004
38.1,39.04,38.1,38.48,259385
37.65,39.1,37.26,38.55,774300
37.65,37.89,37.18,37.5,216607
37.49,38.04,36.54,37.62,245990
38.39,38.39,36.85,37.34,370071
36.98,38.55,36.98,38.1,342060
37.76,38.64,35.65,36.88,565906
39,39,37.7,37.8,367027
39.19,39.2,38.45,39.05,310419
38.78,39.36,38.41,38.95,446954
38.98,39,37.6,38.34,421258
38.95,39.05,38.32,38.99,245471
38.6,39.17,38,38.85,204992
38.37,38.77,37.67,38.33,471059
38.79,38.79,37.83,38.17,307431
37.45,39.36,36.86,38.39,654309
37.9,37.9,36.57,37.39,211012
37.7,37.98,37.18,37.75,467884
36.3,37.79,35.87,37.2,440385
35.99,37.34,35.87,35.97,435964
36.6,37,36.1,36.57,503865
35.4,36.2,34.78,35.85,297781
35.25,35.5,34.23,35.14,361065
35.19,36.28,34.8,35.37,558041
34.46,35.43,34,34.85,437545
33.7,35.16,33.7,34.9,512399
33.7,34.31,33.26,33.85,393142
32.6,33.9,32.5,33.7,473409
33.93,34.14,32.35,32.93,531135
34.1,34.85,32.4,33.35,628517
33.5,34.68,33.5,34.25,479616
33.8,33.95,33.12,33.55,291567
34,34.75,33.4,33.65,447121
33.55,34.84,33.51,34.1,387183
35.25,35.3,33.38,33.68,549450
35.34,35.34,34.4,34.7,253740
34.9,35.36,34.7,34.88,331032
34,35.38,33.32,34.98,649467
33.05,34.6,33.01,34,441247
33.46,33.93,33,33.35,387748
33.53,34.13,32.72,33.94,581909
33.57,34.75,33.33,34.16,508659
35.55,36,33.38,34.24,821968
36.5,36.5,35.36,35.65,463963
36.5,37.1,36.1,36.47,381993
38.08,38.08,36.65,36.78,381290
37.77,38.19,37.5,37.7,679302
38.41,38.97,37.2,37.99,549508
39.3,39.35,38.28,38.76,379932
39.77,39.77,38.5,39.25,431459
38.7,39.9,38.22,39.24,357342
39.35,39.5,38.28,38.7,234491
38.93,39.6,38.93,39.37,351945
38.55,39.3,38.55,38.93,375320
38.92,39.15,38.39,38.8,276222
38.21,39.15,37.85,38.55,498782
37.51,38.38,37.4,37.62,330318
37.7,38.4,36.89,37.9,374378
37.99,38.6,37.84,37.85,657776
37.8,38.15,37.35,37.7,319299
37.9,38.24,37.6,37.7,385912
36.45,37.89,36.13,37.48,398553
36.99,37.88,36.03,36.75,415752
37.95,37.95,36.33,37.22,495522
36.65,37.9,36.4,37.9,405582
37.15,37.15,35.3,36.45,311554
37.5,37.8,36.54,36.64,347333
38.15,38.15,37.06,37.2,407031
37.19,38.28,37.1,37.6,453057
37.01,37.55,36.78,37,614427
35.51,36.75,35.51,36.46,741218
35.2,35.4,34.83,35.27,506560
36.06,36.06,34.53,34.9,340974
35.3,36.04,35.15,35.78,830681
34.27,35.47,34.27,34.85,393433
34.57,35,34.15,34.4,517577
34.85,34.85,33.86,34.17,357618
34.3,34.91,34.1,34.55,799055
32.5,34.35,32.36,33.93,1379444
31.91,32.5,31.2,32.5,632258
31.2,32.2,31.2,31.8,442277
30.69,31.88,30.33,30.7,441045
30.5,31.17,30.1,30.32,718443
31.2,31.2,30.52,30.52,393395
31.9,32,30.88,31,480373
31.65,32,31.45,31.7,646737
32.57,32.9,30.55,31.7,947966
31.12,33.2,31.12,32.4,1120347
31.1,31.67,30.95,31.11,556788
31,31.76,30.8,30.8,613291
31.22,31.68,30.81,30.92,456902
31.5,31.5,30.9,31.25,577799
32.8,33.39,31.2,31.5,1111403
33,33.09,32.55,32.58,380551
33.3,33.75,32.5,32.68,526019
34.58,34.58,33.15,33.6,354923
34.55,34.55,33.15,34.55,412510
33.67,34.64,32.55,34.56,611999
34.65,34.98,33.75,34,337253
34.5,35.23,33.17,34.76,456203
33.26,34.69,33.22,34.46,358224
33.65,33.9,33.1,33.85,382940
35.2,35.2,33.51,33.64,426978
35.23,36.17,34.05,34.51,534203
35.5,35.69,35,35.23,283128
35.49,35.85,34.76,35.45,424061
36.24,36.24,35.02,35.02,417009
36.6,36.6,35.34,35.4,219699
37.31,37.31,35.5,36.46,584996
37.72,38,37.27,37.3,395038
37.5,38.65,37.5,37.65,313221
39.16,39.5,37.12,37.12,3670508
39.15,39.25,38.74,38.9,243022
38.52,39.25,38.05,39.25,340363
38,38.6,38,38.52,250338
38.44,38.44,37.85,38,73239
38.5,38.98,38,38,317332
38.9,39.5,38,38.1,464429
38.7,38.79,37.85,38.24,322704
38.6,39.08,38.16,38.56,382864
38.2,38.3,37.75,38.18,210548
37.85,38.51,37.5,37.91,306273
38.17,38.7,37.1,37.5,239240
38.55,38.79,37.55,37.85,271567
38.6,39.15,38.16,38.26,639294
37.09,38.22,37,37.87,278854
37.4,37.99,36.35,36.5,649807
38.6,39.08,37.4,37.75,405835
38.2,39,38,38.1,284599
37.89,38.44,37.5,38.2,474382
37.26,38.45,37,37.7,400629
38.65,38.65,37.2,37.7,670518
38.65,39.3,37.61,38.29,928279
39,39,37.81,38.18,1137518
41.6,41.76,37.91,38.6,2446517
43.49,43.95,39.36,40.99,1608242
44.97,44.97,42.8,43.5,369778
44.35,45.2,44,44.65,385456
44.62,45.04,44.38,44.8,298257
45.25,45.25,44.5,45.07,175225
45.3,45.41,44.55,45.01,211675
46.17,46.17,44.6,45.6,229566
44.42,45.75,43.55,45.45,232853
44.47,45.15,44.01,44.7,163695
45.8,46,44.43,44.67,210115
44.87,45.7,44.5,45.21,318908
43.8,44.85,43.61,44.56,279839
44,44.23,43.26,43.66,221885
43.4,44.05,42.36,43.61,263494
42.6,43.69,42.6,42.9,359994
44.78,44.78,42.65,42.7,344923
44,44.6,42.44,44.1,503044
42.1,44.85,41.78,43.68,482329
43.7,44.7,42.5,43.38,420144
43.2,45.15,43.2,43.7,498773
45.5,46.6,43.65,44,818856
44.9,46.27,44.9,45.65,303811
44.85,45.6,44.43,45,430692
46.65,46.65,44.32,44.85,515599
46.5,47.2,44.51,45.65,411834
47.95,48.55,46.1,46.7,741496
48.94,49.99,47.7,48.31,543843
48.59,48.84,47.1,48.5,333146
49.75,50,47.99,47.99,316439
47.35,49.69,47,49,613347
47.7,48.1,47.28,47.35,354742
47,48.78,46.63,48.17,296294
48.38,48.89,47.4,47.5,374671
48.25,49,47.15,47.78,298509
48.6,48.65,47.51,47.93,255131
47.95,48.5,47.2,48.5,318351
46.95,47.7,46.75,47.4,274883
47.1,47.49,45.81,46.95,268060
48.3,48.75,45.8,46.96,7031178
46.55,48.35,46.55,47.51,742458
45.5,46.9,43.3,46.25,457412
45.25,47,44.92,45.74,536061
43.5,45.14,42.9,44.1,580608
43.3,44.87,42.75,42.75,471448
43.15,44.09,42.2,42.28,538402
43.5,45.1,42.9,42.9,532335
44.95,44.95,41.86,42.46,589877
46.25,46.5,44.8,44.99,361555
47.53,47.53,45.6,45.6,587116
48.45,48.8,47.13,48.5,269519
47.71,48.45,46.1,48.45,589875
47,48.97,46.49,47.51,424162
45.65,47,45.31,46.62,262292
46,46.4,44.9,45.99,357714
46.01,46.85,44.1,45.05,781347
47.11,47.59,46.21,46.6,475572
47.35,49,46.6,46.81,1038586
45,47.7,44.99,46.6,1010875
44.35,45.9,43.5,43.97,940051
42,43.94,41.01,43.55,726310
43.05,44.36,40.55,41.35,996566
43.2,45.03,42.11,42.11,618240
45,45.11,42.5,43.8,979401
46.9,47.4,43.51,44.99,1056650
46,47.05,45.9,46.6,571442
46.15,47.1,45.3,46.5,1130989
47.81,48.4,46.5,46.61,425711
49,49.5,47.8,47.81,268141
47.9,50,47.9,50,474928
48.2,50.85,47.11,48,919107
47.95,48.52,47,47.69,476996
48.36,48.99,47.1,47.81,504976
50.25,50.34,48.25,48.35,715313
50.5,51.7,49.11,51.7,314604
50.87,51.4,48.75,50.85,387264
50.85,51.4,50.35,50.72,332165
51.5,52,50.45,50.8,384540
51.6,52.58,51.02,51.05,382895
51.5,52.6,51.5,51.5,491425
51,52.65,50.78,52.08,586322
51,51.8,50.61,50.61,519014
52.3,52.5,50.55,51.11,491552
53.55,53.55,52.1,52.1,452578
54.75,55,51.8,53,636912
54.32,55.88,54.21,54.95,409840
54.54,55.32,54.26,54.5,405030
55.5,55.5,54.12,54.6,383772
55.05,56.25,54.44,55.28,981818
53.9,54.88,53.06,54.76,661661
52.55,54.5,52.45,53.02,353360
52,54.85,51.53,52.42,547589
52.91,54.68,52.3,52.8,542879
58.25,58.5,51.87,52.25,860595
